CY_Month_Number,Year,Statistical_Group,Statistical_Category,Statistical_Detail,Count_IMs,Value,commodity,Stat_Redaction
2,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1710,878003780,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1710,878003780,Wine,FALSE
2,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1812,1812,Wine,FALSE
2,2012,1-Production,1-Production,1-Low Alcohol %,587,14416789,Wine,FALSE
2,2012,1-Production,1-Production,2-Medium and High Alcohol %,394,5213150,Wine,FALSE
2,2012,1-Production,1-Production,4-Artificially Carbonated Wine,5,8006,Wine,FALSE
2,2012,1-Production,1-Production,5-Sparkling Wine,23,1508234,Wine,FALSE
2,2012,1-Production,1-Production,6-Hard Cider,13,250061,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,999,42674142,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,773,4135155,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,51,93052,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,174,1320720,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,35,925548,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1164,47010140,Wine,FALSE
2,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,65,2138477,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,536,10261144,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,338,1040223,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,87,148476,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,11,3139,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,119,4309310,Wine,FALSE
2,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,20,5407359,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1536,723693781,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1307,136159179,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,39,438523,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,59,541860,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,251,15904846,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,38,1265591,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1232,143664071,Wine,FALSE
2,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1562,734339709,Wine,FALSE
3,2012,1-Production,0-Category Total,1-Production,1053,19319831,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1916,48509975,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1916,48509975,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,928,11201137,Wine,FALSE
3,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,165,9849950,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,2645,856487871,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2645,856487871,Wine,FALSE
3,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,2822,2822,Wine,FALSE
3,2012,1-Production,1-Production,1-Low Alcohol %,925,13560689,Wine,FALSE
3,2012,1-Production,1-Production,2-Medium and High Alcohol %,624,2935429,Wine,FALSE
3,2012,1-Production,1-Production,4-Artificially Carbonated Wine,,,Wine,TRUE
3,2012,1-Production,1-Production,5-Sparkling Wine,41,1996013,Wine,FALSE
3,2012,1-Production,1-Production,6-Hard Cider,,,Wine,TRUE
3,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1575,41423118,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1311,4724148,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,72,190760,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,235,975488,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,49,1196461,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1890,46668435,Wine,FALSE
3,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,81,1841540,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,768,9896143,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,567,1177864,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,114,121203,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,13,5927,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,147,4691091,Wine,FALSE
3,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,29,5158859,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,2299,703146169,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,2038,133909204,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,56,574791,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,71,447783,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,306,16680036,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,54,1729888,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1745,154045214,Wine,FALSE
3,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,2453,702442657,Wine,FALSE
4,2012,1-Production,0-Category Total,1-Production,600,12208313,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1159,44371692,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1159,44371692,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,588,9992014,Wine,FALSE
4,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,134,9212817,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1659,793715982,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1659,793715982,Wine,FALSE
4,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1753,1753,Wine,FALSE
4,2012,1-Production,1-Production,1-Low Alcohol %,558,8045493,Wine,FALSE
4,2012,1-Production,1-Production,2-Medium and High Alcohol %,352,1723746,Wine,FALSE
4,2012,1-Production,1-Production,4-Artificially Carbonated Wine,5,11138,Wine,FALSE
4,2012,1-Production,1-Production,5-Sparkling Wine,28,1947626,Wine,FALSE
4,2012,1-Production,1-Production,6-Hard Cider,10,480310,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1000,38056622,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,757,3749709,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,50,90165,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,176,1174811,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,27,1300385,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1138,42632274,Wine,FALSE
4,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,65,1739419,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,509,9104343,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,336,726446,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,,,Wine,TRUE
4,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,,,Wine,TRUE
4,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,124,4725658,Wine,FALSE
4,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,20,4487159,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1499,656654753,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1267,116796111,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,41,662519,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,57,673803,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,242,17310103,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,37,1618693,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1192,155018853,Wine,FALSE
4,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1510,638697129,Wine,FALSE
5,2012,1-Production,0-Category Total,1-Production,609,13266599,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1167,56113512,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1167,56113512,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,607,9940033,Wine,FALSE
5,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,137,9039594,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1646,737065961,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1646,737065961,Wine,FALSE
5,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1742,1742,Wine,FALSE
5,2012,1-Production,1-Production,1-Low Alcohol %,558,12556228,Wine,FALSE
5,2012,1-Production,1-Production,2-Medium and High Alcohol %,361,-1612446,Wine,FALSE
5,2012,1-Production,1-Production,4-Artificially Carbonated Wine,6,7601,Wine,FALSE
5,2012,1-Production,1-Production,5-Sparkling Wine,32,2057811,Wine,FALSE
5,2012,1-Production,1-Production,6-Hard Cider,12,257405,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,997,48340526,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,769,4405164,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,48,105360,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,180,1862325,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,33,1400138,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1150,55055894,Wine,FALSE
5,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,63,1057618,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,531,8920771,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,337,860471,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,,,Wine,TRUE
5,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,,,Wine,TRUE
5,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,118,4754987,Wine,FALSE
5,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,27,4284607,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1486,613273142,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1253,104133928,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,42,552157,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,55,665723,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,245,17236563,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,37,1204448,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1185,153573372,Wine,FALSE
5,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1504,583492589,Wine,FALSE
6,2012,1-Production,0-Category Total,1-Production,886,10823177,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1891,54146805,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1891,54146805,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,889,9493685,Wine,FALSE
6,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,140,8670497,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,2624,703164410,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2624,703164410,Wine,FALSE
6,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,2805,2805,Wine,FALSE
6,2012,1-Production,1-Production,1-Low Alcohol %,804,6362334,Wine,FALSE
6,2012,1-Production,1-Production,2-Medium and High Alcohol %,,,Wine,TRUE
6,2012,1-Production,1-Production,4-Artificially Carbonated Wine,,,Wine,TRUE
6,2012,1-Production,1-Production,5-Sparkling Wine,39,3025950,Wine,FALSE
6,2012,1-Production,1-Production,6-Hard Cider,25,473398,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1558,46494586,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,1295,4505527,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,71,103038,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,246,1390161,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,55,1653493,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1868,51757301,Wine,FALSE
6,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,92,2389504,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,754,8373428,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,522,889162,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,111,187505,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,19,43590,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,128,4817397,Wine,FALSE
6,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,19,3853099,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,2269,580179757,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,2004,101879524,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,54,602428,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,70,756675,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,312,18195209,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,53,1550817,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1724,162285435,Wine,FALSE
6,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,2435,540878975,Wine,FALSE
7,2012,1-Production,0-Category Total,1-Production,633,8547885,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1191,43617056,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1191,43617056,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,610,9315527,Wine,FALSE
7,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,130,8647572,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1680,661327646,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1680,661327646,Wine,FALSE
7,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1795,1795,Wine,FALSE
7,2012,1-Production,1-Production,1-Low Alcohol %,579,4385072,Wine,FALSE
7,2012,1-Production,1-Production,2-Medium and High Alcohol %,,,Wine,TRUE
7,2012,1-Production,1-Production,4-Artificially Carbonated Wine,,,Wine,TRUE
7,2012,1-Production,1-Production,5-Sparkling Wine,31,2369779,Wine,FALSE
7,2012,1-Production,1-Production,6-Hard Cider,15,409503,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,1-Low Alcohol %,1021,37429592,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,2-Medium and High Alcohol %,800,3611887,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,4-Artificially Carbonated Wine,51,63957,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,5-Sparkling Wine,190,1130552,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals,6-Hard Cider,32,1381068,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,1-Bottled,1174,42214008,Wine,FALSE
7,2012,2-Withdrawals,2-Taxable Withdrawals by Bulk vs Bottled,2-Bulk,51,1403049,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,1-Low Alcohol %,537,8335540,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,2-Medium and High Alcohol %,339,769680,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,4-Artificially Carbonated/Sparkling Wine,,,Wine,TRUE
7,2012,2-Withdrawals,3-Tax Free Withdrawals,6-Hard Cider,,,Wine,TRUE
7,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,1-Bottled Exports,119,4695984,Wine,FALSE
7,2012,2-Withdrawals,3-Tax Free Withdrawals For Export,2-Bulk Exports,19,3951588,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,1-Low Alcohol %,1499,543601497,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,2-Medium Alcohol %,1276,95213177,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,3-High Alcohol %,43,745912,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,4-Artificially Carbonated Wine,60,842763,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,5-Sparkling Wine,246,19259399,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period,6-Hard Cider,40,1664898,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1-Bottled,1216,167006284,Wine,FALSE
7,2012,4-Stocks on Hand End-of-Period,4-Stocks on Hand End-of-Period by Bulk vs Bottled,2-Bulk,1533,494321362,Wine,FALSE
8,2012,1-Production,0-Category Total,1-Production,636,37287426,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals,1198,53414516,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,2-Taxable Withdrawals by Bulk vs Bottled,1198,53414516,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals,598,10171318,Wine,FALSE
8,2012,2-Withdrawals,0-Category Total,3-Tax Free Withdrawals For Export,146,9301764,Wine,FALSE
8,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period,1657,639921295,Wine,FALSE
8,2012,4-Stocks on Hand End-of-Period,0-Category Total,4-Stocks on Hand End-of-Period by Bulk vs Bottled,1657,639921295,Wine,FALSE
8,2012,01-Count of IMs,01-Count of IMs,Number of Industry Members,1775,1775,Wine,FALSE
8,2012,1-Production,1-Production,1-Low Alcohol %,589,30106956,Wine,FALSE
8,2012,1-Production,1-Production,2-Medium and High Alcohol %,381,4237854,Wine,FALSE
8,2012,1-Production,1-Production,4-Artificially Carbonated Wine,7,13634,Wine,FALSE
